tweet_id,favorites,retweets,date_time
815639385530101762,8635,1765,2017-01-01 19:22:38
815390420867969024,10874,4089,2017-01-01 02:53:20
814986499976527872,8034,1380,2016-12-31 00:08:17
814638523311648768,11838,2912,2016-12-30 01:05:33
814578408554463233,0,6230,2016-12-29 21:06:41
814530161257443328,9079,1991,2016-12-29 17:54:58
814153002265309185,30264,9309,2016-12-28 16:56:16
813944609378369540,0,3428,2016-12-28 03:08:11
813910438903693312,9780,2005,2016-12-28 00:52:25
813812741911748608,38261,15025,2016-12-27 18:24:12
813800681631023104,8778,1886,2016-12-27 17:36:16
813217897535406080,19618,7870,2016-12-26 03:00:30
813202720496779264,9671,1939,2016-12-26 02:00:11
813187593374461952,20873,4688,2016-12-26 01:00:05
813172488309972993,9791,2058,2016-12-26 00:00:03
813157409116065792,8164,2386,2016-12-25 23:00:08
813142292504645637,8877,2536,2016-12-25 22:00:04
813130366689148928,4702,480,2016-12-25 21:12:41
813127251579564032,12460,3370,2016-12-25 21:00:18
813112105746448384,10855,2963,2016-12-25 20:00:07
813096984823349248,11076,3868,2016-12-25 19:00:02
813081950185472002,10385,2973,2016-12-25 18:00:17
813066809284972545,8374,2092,2016-12-25 17:00:08
813051746834595840,22038,7876,2016-12-25 16:00:16
812781120811126785,7980,2058,2016-12-24 22:04:54
812709060537683968,6963,1534,2016-12-24 17:18:34
812503143955202048,6399,1315,2016-12-24 03:40:19
812466873996607488,8393,2076,2016-12-24 01:16:12
812372279581671427,14396,3951,2016-12-23 19:00:19
811985624773361665,7635,1512,2016-12-22 17:23:53
811744202451197953,7944,1720,2016-12-22 01:24:33
811647686436880384,5879,798,2016-12-21 19:01:02
811627233043480576,13449,3345,2016-12-21 17:39:46
811386762094317568,21999,6858,2016-12-21 01:44:13
810984652412424192,5612,1548,2016-12-19 23:06:23
810896069567610880,9524,1916,2016-12-19 17:14:23
810657578271330305,11552,2850,2016-12-19 01:26:42
810284430598270976,37227,12253,2016-12-18 00:43:57
810254108431155201,15457,3601,2016-12-17 22:43:27
809920764300447744,16298,4205,2016-12-17 00:38:52
809808892968534016,0,5270,2016-12-16 17:14:20
809448704142938112,7309,1576,2016-12-15 17:23:04
809220051211603969,21001,6036,2016-12-15 02:14:29
809084759137812480,13925,3791,2016-12-14 17:16:53
808838249661788160,10652,3279,2016-12-14 00:57:20
808733504066486276,8328,2328,2016-12-13 18:01:07
808501579447930884,11889,2791,2016-12-13 02:39:32
808344865868283904,44818,22385,2016-12-12 16:16:49
808134635716833280,0,6388,2016-12-12 02:21:26
808106460588765185,9232,2370,2016-12-12 00:29:28
808001312164028416,13242,3816,2016-12-11 17:31:39
807621403335917568,15335,3950,2016-12-10 16:22:02
807106840509214720,125032,59922,2016-12-09 06:17:20
807059379405148160,0,7877,2016-12-09 03:08:45
807010152071229440,13752,4131,2016-12-08 23:53:08
806629075125202948,79036,37454,2016-12-07 22:38:52
806620845233815552,0,5959,2016-12-07 22:06:10
806576416489959424,5124,2075,2016-12-07 19:09:37
806542213899489280,10764,2535,2016-12-07 16:53:43
806242860592926720,0,12574,2016-12-06 21:04:11
806219024703037440,6780,1282,2016-12-06 19:29:28
805958939288408065,0,5801,2016-12-06 02:15:59
805932879469572096,8723,2063,2016-12-06 00:32:26
805826884734976000,6935,1973,2016-12-05 17:31:15
805823200554876929,0,8664,2016-12-05 17:16:37
